dataSize,readWriteRatio,taskType,cacheUsage,ioPriority,iops,bw
500M,randwrite,seq,True,throughput,1299,1299
500M,randwrite,seq,True,latency,2064,2064
500M,randwrite,seq,False,throughput,3729,3729
500M,randwrite,seq,False,latency,3858,3858
500M,randwrite,rand,True,throughput,3495,3495
500M,randwrite,rand,True,latency,3697,3697
500M,randwrite,rand,False,throughput,3974,3974
500M,randwrite,rand,False,latency,3824,3824
500M,randread,seq,True,throughput,705,705
500M,randread,seq,True,latency,652,652
500M,randread,seq,False,throughput,576,576
500M,randread,seq,False,latency,560,560
500M,randread,rand,True,throughput,530,530
500M,randread,rand,True,latency,288,288
500M,randread,rand,False,throughput,517,517
500M,randread,rand,False,latency,426,426
500M,rw,seq,True,throughput,4197,4197
500M,rw,seq,True,latency,3858,3858
500M,rw,seq,False,throughput,5001,5001
500M,rw,seq,False,latency,5179,5179
500M,rw,rand,True,throughput,4725,4725
500M,rw,rand,True,latency,5093,5093
500M,rw,rand,False,throughput,5242,5242
500M,rw,rand,False,latency,5274,5274
1G,randwrite,seq,True,throughput,2760,2760
1G,randwrite,seq,True,latency,2941,2941
1G,randwrite,seq,False,throughput,3000,3000
1G,randwrite,seq,False,latency,3082,3082
1G,randwrite,rand,True,throughput,3065,3065
1G,randwrite,rand,True,latency,2616,2616
1G,randwrite,rand,False,throughput,2496,2496
1G,randwrite,rand,False,latency,2423,2423
1G,randread,seq,True,throughput,537,537
1G,randread,seq,True,latency,128,128
1G,randread,seq,False,throughput,516,516
1G,randread,seq,False,latency,514,514
1G,randread,rand,True,throughput,590,590
1G,randread,rand,True,latency,528,528
1G,randread,rand,False,throughput,544,544
1G,randread,rand,False,latency,554,554
1G,rw,seq,True,throughput,4446,4446
1G,rw,seq,True,latency,4063,4063
1G,rw,seq,False,throughput,3723,3723
1G,rw,seq,False,latency,3894,3894
1G,rw,rand,True,throughput,4171,4171
1G,rw,rand,True,latency,5105,5105
1G,rw,rand,False,throughput,5072,5072
1G,rw,rand,False,latency,5105,5105
2G,randwrite,seq,True,throughput,2745,2745
2G,randwrite,seq,True,latency,1832,1832
2G,randwrite,seq,False,throughput,2076,2076
2G,randwrite,seq,False,latency,2105,2105
2G,randwrite,rand,True,throughput,2352,2352
2G,randwrite,rand,True,latency,2487,2487
2G,randwrite,rand,False,throughput,2759,2759
2G,randwrite,rand,False,latency,2386,2386
2G,randread,seq,True,throughput,582,582
2G,randread,seq,True,latency,603,603
2G,randread,seq,False,throughput,577,577
2G,randread,seq,False,latency,597,597
2G,randread,rand,True,throughput,591,591
2G,randread,rand,True,latency,588,588
2G,randread,rand,False,throughput,561,561
2G,randread,rand,False,latency,594,594
2G,rw,seq,True,throughput,4808,4808
2G,rw,seq,True,latency,4093,4093
2G,rw,seq,False,throughput,3599,3599
2G,rw,seq,False,latency,2828,2828
2G,rw,rand,True,throughput,3951,3951
2G,rw,rand,True,latency,3780,3780
2G,rw,rand,False,throughput,3895,3895
2G,rw,rand,False,latency,4931,4931
